filename,artist,set
39175.jpg,Peter Paul Rubens,train
36949.jpg,Egon Schiele,train
46722.jpg,Martiros Saryan,train
9206.jpg,Gustave Loiseau,train
80386.jpg,Peter Paul Rubens,train
57294.jpg,Albrecht Durer,train
22958.jpg,John Henry Twachtman,train
42134.jpg,Rene Magritte,train
65021.jpg,John Henry Twachtman,train
19147.jpg,Eugene Boudin,train
11081.jpg,Vincent van Gogh,train
8865.jpg,Henri Fantin-Latour,train
29117.jpg,Alfred Sisley,train
36376.jpg,Ivan Shishkin,train
65264.jpg,Charles M. Russell,train
43573.jpg,Rene Magritte,train
80820.jpg,Theodor Severin Kittelsen,train
52085.jpg,Marc Chagall,train
27126.jpg,Gustave Loiseau,train
7733.jpg,Boris Kustodiev,train
26675.jpg,Paul Cezanne,train
27769.jpg,Jean Auguste Dominique Ingres,train
43792.jpg,Theodor Severin Kittelsen,train
11652.jpg,Childe Hassam,train
52628.jpg,Eugene Boudin,train
4973.jpg,John Henry Twachtman,train
26965.jpg,Jean Auguste Dominique Ingres,train
18972.jpg,Marc Chagall,train
65621.jpg,Ivan Aivazovsky,train
97706.jpg,Rene Magritte,train
84328.jpg,Vincent van Gogh,train
50301.jpg,Raphael Kirchner,train
14273.jpg,Boris Kustodiev,train
76903.jpg,James Tissot,train
21510.jpg,Katsushika Hokusai,train
25287.jpg,Odilon Redon,train
30665.jpg,Mary Cassatt,train
49293.jpg,Rene Magritte,train
81777.jpg,Claude Monet,train
54607.jpg,Ivan Aivazovsky,train
36735.jpg,Henri Fantin-Latour,train
23169.jpg,James Tissot,train
37473.jpg,William Merritt Chase,train
23633.jpg,Camille Pissarro,train
27790.jpg,Pierre-Auguste Renoir,train
45897.jpg,Pyotr Konchalovsky,train
21605.jpg,Raphael Kirchner,train
93734.jpg,John Henry Twachtman,train
54691.jpg,Edgar Degas,train
5641.jpg,Marc Chagall,train
72866.jpg,Sam Francis,train
55566.jpg,Egon Schiele,train
33966.jpg,Utagawa Kuniyoshi,train
24562.jpg,Theodor Severin Kittelsen,train
2117.jpg,Odilon Redon,train
21464.jpg,Marc Chagall,train
8609.jpg,Rene Magritte,train
18641.jpg,Henri Fantin-Latour,train
100938.jpg,John Henry Twachtman,train
37098.jpg,Rembrandt,train
14757.jpg,Camille Pissarro,train
66247.jpg,Pablo Picasso,train
19850.jpg,Maurice Prendergast,train
31784.jpg,M.C. Escher,train
80830.jpg,Francisco Goya,train
89310.jpg,Theophile Steinlen,train
48731.jpg,Zdislav Beksinski,train
21433.jpg,Max Ernst,train
40415.jpg,John Singer Sargent,train
63705.jpg,Pablo Picasso,train
92930.jpg,Paul Gauguin,train
51401.jpg,Vasily Surikov,train
